Time,Mean direction of total swell,Mean direction of wind waves,Mean period of total swell,Mean period of wind waves,Mean wave direction,Mean wave direction of first swell partition,Mean wave direction of second swell partition,Mean wave direction of third swell partition,Mean wave period,Mean wave period of first swell partition,Mean wave period of second swell partition,Mean wave period of third swell partition,Significant height of combined wind waves and swell,Significant height of total swell,Significant height of wind waves,Significant wave height of first swell partition,Significant wave height of second swell partition,Significant wave height of third swell partition
2022/07/25 14:19,286.889401357712,194.573239791498,11.2166172680591,3.69790935494529,286.236465466407,284.615899758623,29.1263527467543,8.71812360493638,11.1440453611944,11.3121597834655,8.18295013193496,25.2591621152463,4.43270289107861,4.40097012602131,0.52752826089885,4.30668826246772,0.755036003449598,0.0182627538692934
2022/07/25 15:19,288.004569610129,199.237194285254,11.1780524184648,4.14707443223101,286.752849828873,285.68163000642,29.4120128393629,9.84428260330094,11.0500017175771,11.2927849879188,8.1590815365088,25.245901784454,4.34489970070435,4.29300533961361,0.668131630873233,4.19134447813387,0.775118182049025,0.0181449296507818
2022/07/25 16:19,288.921974034531,203.472658260149,11.1006958672196,4.52767025695506,286.148570255775,281.990028323328,19.0238737023845,12.2888716485313,10.8453308414013,11.3917201141147,8.27091032619062,25.2220331890279,4.34419303518826,4.25550946109093,0.872484639626934,4.07909025945182,1.22373248720468,0.0205014140210134
2022/07/25 17:19,289.009869069204,210.27357188002,11.0904875246799,4.96972309793784,284.181914917876,282.237233793178,19.4853246212138,12.2284436047166,10.6769759258186,11.4024380861193,8.22847726765523,25.2366195528994,4.31451308351245,4.16621966476456,1.12093114853633,3.97875293685529,1.19327227000018,0.0206192382395249
2022/07/25 18:19,289.971221010942,214.047584526911,10.8767928875159,5.16230057321747,282.770098097093,283.654545153651,19.556739644366,21.2816632598619,10.3005914325023,11.1802462818709,8.08526569509827,23.8155541029901,4.05887683306665,3.84845303666187,1.28898227965181,3.66817802776249,1.10526111144028,0.0144531041374194
2022/07/25 19:19,289.322995130227,219.744311040485,10.9087790274735,5.40320478235042,280.413407762013,283.489741507084,19.8698670535716,20.3203080173556,10.1960518465171,11.2222937105042,8.03487643808749,23.8062718714355,4.07831013475915,3.80512122373878,1.46748126823389,3.63845934863566,1.07021838368289,0.0144531041374194
2022/07/25 20:19,289.564706475579,221.540675138787,10.8808762245317,5.42618277655992,278.463232776107,283.660038608536,19.9412820767237,20.8202127434589,10.0001975619303,11.1930254023378,8.10869227949802,23.7969896398809,4.02619355294746,3.68694355213034,1.61764708402518,3.52944181777931,1.03625389370265,0.0140996314818846
2022/07/25 21:19,288.713223327182,225.320181253869,10.8427650790502,5.48946344315275,276.809704126086,283.154640759065,19.9248016867655,216.986123341507,9.87739503622481,11.1435578392399,8.11532244489418,27.6168489301192,4.01806689951242,3.63762990644682,1.70636533132639,3.50943320212956,0.988541872063741,0.0139032577843654
2022/07/25 22:19,287.724404187108,229.033765750664,10.760190930507,5.45663773713918,276.01315377973,282.583321450968,19.9577624666819,216.370855986303,9.7764240706447,11.0697687242854,8.19930453991214,27.6141968639607,3.95694033237058,3.57110025428207,1.70406326103714,3.45131994344095,0.953970873333855,0.0141781809608923
2022/07/25 23:19,286.603742495024,232.335340133169,10.736825168694,5.55602668034694,275.244070686696,282.445985078829,19.7490108605448,216.683983122433,9.7434668116092,11.0273090659596,8.27312038132267,27.6062406654853,3.97884696336939,3.5770820870425,1.74213596197479,3.45014296604979,0.901339391836699,0.0140996314818846
