TIME_SERVER,MEAN_HEADING,MEAN_GPS_SOG_KNOTS,ADAPTED_MEAN_HEADING
2022-07-12 07:34:00,213.72,5.58,146.28
2022-07-12 07:39:00,211.24,5.52,148.76
2022-07-12 07:44:00,212.94,10.94,147.06
2022-07-12 07:49:00,213.26,11.46,146.74
2022-07-12 07:54:00,213.3,12.86,146.7
2022-07-12 07:59:00,215.12,12.44,144.88
2022-07-12 08:04:00,215.6,12.14,144.4
2022-07-12 08:09:00,214.4,12.08,145.6
2022-07-12 08:14:00,215.2,12.04,144.8
2022-07-12 08:19:00,215.16,12.2,144.84
2022-07-12 08:24:00,214.86,12.68,145.14
2022-07-12 08:29:00,214.86,12.62,145.14
2022-07-12 08:34:00,215.12,12.7,144.88
2022-07-12 08:39:00,214.94,12.8,145.06
2022-07-12 08:44:00,215.12,12.7,144.88
2022-07-12 08:49:00,214.96,12.14,145.04
2022-07-12 08:54:00,214.9,12.08,145.1
2022-07-12 08:59:00,214.98,12.34,145.02
2022-07-12 09:04:00,215.06,12.72,144.94
2022-07-12 09:09:00,214.94,12.6,145.06
2022-07-12 09:14:00,215.12,12.04,144.88
2022-07-12 09:19:00,214.7,12.26,145.3
2022-07-12 09:24:00,215.22,12.74,144.78
2022-07-12 09:29:00,215,12.82,145
2022-07-12 09:34:00,215.08,12.5,144.92
2022-07-12 09:39:00,214.88,12.6,145.12
2022-07-12 09:44:00,214.98,12.9,145.02
2022-07-12 09:49:00,214.98,12.8,145.02
2022-07-12 09:54:00,215.14,12.16,144.86
2022-07-12 09:59:00,214.98,13.32,145.02
2022-07-12 10:04:00,214.96,12.38,145.04
2022-07-12 10:09:00,215.2,12.96,144.8
2022-07-12 10:14:00,215.06,12.8,144.94
2022-07-12 10:19:00,215.04,12.88,144.96
2022-07-12 10:24:00,214.92,12.74,145.08
2022-07-12 10:29:00,215.18,12.74,144.82
2022-07-12 10:34:00,214.9,12.84,145.1
2022-07-12 10:39:00,215.04,13.26,144.96
2022-07-12 10:44:00,215.08,13.7,144.92
2022-07-12 10:49:00,214.94,13.14,145.06
2022-07-12 10:54:00,214.82,12.74,145.18
2022-07-12 10:59:00,215.12,12.94,144.88
2022-07-12 11:04:00,214.8,12.66,145.2
2022-07-12 11:09:00,215.28,12.82,144.72
2022-07-12 11:14:00,214.94,12.82,145.06
2022-07-12 11:19:00,214.94,13.32,145.06
2022-07-12 11:24:00,214.92,12.98,145.08
2022-07-12 11:29:00,215.1,12.96,144.9
2022-07-12 11:34:00,214.96,12.74,145.04
2022-07-12 11:39:00,214.98,12.52,145.02
2022-07-12 11:44:00,215.04,12.8,144.96
2022-07-12 11:49:00,215.34,13.1,144.66
2022-07-12 11:54:00,214.66,13.44,145.34
2022-07-12 11:59:00,215.44,13.08,144.56
2022-07-12 12:04:00,215,13.56,145
2022-07-12 12:09:00,216.94,12.34,143.06
2022-07-12 12:14:00,220.54,12.34,139.46
2022-07-12 12:19:00,220.98,12.64,139.02
2022-07-12 12:24:00,220.88,12.88,139.12
2022-07-12 12:29:00,220.52,13.08,139.48
2022-07-12 12:34:00,221.18,12.76,138.82
2022-07-12 12:39:00,220.42,12.96,139.58
2022-07-12 12:44:00,220.46,13.12,139.54
2022-07-12 12:49:00,220.84,13.44,139.16
2022-07-12 12:54:00,220.94,12.64,139.06
2022-07-12 12:59:00,220.2,13.02,139.8
2022-07-12 13:04:00,220.98,12.32,139.02
2022-07-12 13:09:00,220.82,12.44,139.18
2022-07-12 13:14:00,220.96,12.52,139.04
2022-07-12 13:19:00,220.74,12.4,139.26
2022-07-12 13:24:00,220.52,12.06,139.48
2022-07-12 13:29:00,220.98,12.48,139.02
2022-07-12 13:34:00,220.86,12.72,139.14
2022-07-12 13:39:00,220.6,12.26,139.4
2022-07-12 13:44:00,220.7,12.3,139.3
2022-07-12 13:49:00,220.38,12.32,139.62
2022-07-12 13:54:00,220.68,12.4,139.32
2022-07-12 13:59:00,221.3,12.7,138.7
2022-07-12 14:04:00,220.2,11.76,139.8
2022-07-12 14:09:00,220.5,12.44,139.5
2022-07-12 14:14:00,220.62,11.92,139.38
2022-07-12 14:19:00,221.16,12.98,138.84
2022-07-12 14:24:00,219.98,12.74,140.02
2022-07-12 14:29:00,221.42,12.44,138.58
2022-07-12 14:34:00,221.26,12.76,138.74
2022-07-12 14:39:00,219.9,12.66,140.1
2022-07-12 14:44:00,220.72,12.82,139.28
2022-07-12 14:49:00,220.52,12.68,139.48
2022-07-12 14:54:00,221.04,12.54,138.96
2022-07-12 14:59:00,220.42,12.32,139.58
2022-07-12 15:04:00,220.8,12.8,139.2
2022-07-12 15:09:00,220.68,13.2,139.32
2022-07-12 15:14:00,220.94,11.9,139.06
2022-07-12 15:19:00,220.56,12,139.44
2022-07-12 15:24:00,220.52,12.58,139.48
2022-07-12 15:29:00,220.64,12.2,139.36
2022-07-12 15:34:00,220.4,11.72,139.6
2022-07-12 15:39:00,221.24,12.34,138.76
2022-07-12 15:44:00,221,12.48,139
2022-07-12 15:49:00,220.44,12.52,139.56
2022-07-12 15:54:00,220.82,12.94,139.18
2022-07-12 15:59:00,221.18,12.48,138.82
